METHOD	TECHNOLOGY	AvgER	seER
A priori	ONT	0.1861317790617141	0.0056704553767229025
A priori	PacBio HiFi	0.1420749954093948	0.00479676701961617
Multi POA	ONT	0.0770771126374339	0.0031065895492460864
Multi POA	PacBio HiFi	0.07166415823529061	0.0029949901500544215
RapidFuzz	ONT	0.07259649081796064	0.002438504223692751
RapidFuzz	PacBio HiFi	0.06617670354767029	0.00210753825199224
True phase	ONT	0.09516505583353524	0.00427453312832988
True phase	PacBio HiFi	0.08034987310402393	0.003464140630774426
abPOA	ONT	0.049526404076366964	0.0014822042743215821
abPOA	PacBio HiFi	0.05362520586880601	0.0014484771269728492
k-mer clust	ONT	0.38291723331203836	0.006765733080550288
k-mer clust	PacBio HiFi	0.0812595751414676	0.0029341280828972132
