METHOD	ALN_PARAMS	TECHNOLOGY	ACCURACY	COVERAGE	AvgTime	seTime
Multi POA	1_-1_-1_-1	ont	0.99	20	163.8585625	1.0503338199730532
Multi POA	1_-1_-1_-1	ont	0.99	30	280.9581875	1.7174874490508019
Multi POA	1_-1_-1_-1	ont	0.99	60	636.472375	3.7894273849815145
RapidFuzz	1_-1_-1_-1	ont	0.99	20	40.3278125	0.2738461124836089
RapidFuzz	1_-1_-1_-1	ont	0.99	30	58.2340625	0.37856568033338184
RapidFuzz	1_-1_-1_-1	ont	0.99	60	116.034625	0.7337085754653838
True phase	1_-1_-1_-1	ont	0.99	20	58.0983125	0.3381401208165827
True phase	1_-1_-1_-1	ont	0.99	30	82.561375	0.4722612832048715
True phase	1_-1_-1_-1	ont	0.99	60	168.35225	0.9563454206150174
abPOA	1_-1_-1_-1	ont	0.99	20	167.5388125	1.1490262624811312
abPOA	1_-1_-1_-1	ont	0.99	30	281.7975625	1.8587019009297039
abPOA	1_-1_-1_-1	ont	0.99	60	786.845	4.930028052985622
k-mer clust	1_-1_-1_-1	ont	0.99	20	56.81125	0.334237924092573
k-mer clust	1_-1_-1_-1	ont	0.99	30	84.0886875	0.47509221372269433
k-mer clust	1_-1_-1_-1	ont	0.99	60	181.2761875	1.023098178874114
